taskNumber,yaxis,xaxis,zaxis,force
1,74.75,-73.73,-263.17,0.1
1,64.51,-64.51,-247.81,0.1
1,64.51,-64.51,-247.81,0.1
1,64.51,-64.51,-247.81,0.1
1,64.51,-64.51,-247.81,0.1
1,64.51,-64.51,-247.81,0.1
1,54.27,-55.3,-235.52,0.1
1,54.27,-55.3,-235.52,0.1
1,54.27,-55.3,-235.52,0.1
1,54.27,-55.3,-235.52,0.1
1,54.27,-55.3,-235.52,0.1
1,54.27,-55.3,-235.52,0.1
1,65.54,-65.54,-252.93,0.1
1,65.54,-65.54,-252.93,0.1
1,65.54,-65.54,-252.93,0.1
1,65.54,-65.54,-252.93,0.1
1,65.54,-65.54,-252.93,0.1
1,65.54,-65.54,-252.93,0.1
1,67.58,-63.49,-256.0,0.2
1,67.58,-63.49,-256.0,0.2
1,67.58,-63.49,-256.0,0.2
1,67.58,-63.49,-256.0,0.2
1,67.58,-63.49,-256.0,0.2
1,67.58,-63.49,-248.83,0.2
1,67.58,-63.49,-248.83,0.2
1,67.58,-63.49,-248.83,0.2
1,67.58,-63.49,-248.83,0.2
1,67.58,-63.49,-248.83,0.2
1,67.58,-63.49,-248.83,0.2
1,72.7,-66.56,-236.54,0.2
1,72.7,-66.56,-236.54,0.2
1,72.7,-66.56,-236.54,0.2
1,72.7,-66.56,-236.54,0.2
1,72.7,-66.56,-236.54,0.2
1,84.99,-65.54,-248.83,0.1
1,84.99,-65.54,-248.83,0.1
1,84.99,-65.54,-248.83,0.1
1,84.99,-65.54,-248.83,0.1
1,84.99,-65.54,-248.83,0.1
1,84.99,-65.54,-248.83,0.1
1,90.11,-61.44,-240.64,0.1
1,90.11,-61.44,-240.64,0.1
1,90.11,-61.44,-240.64,0.1
1,90.11,-61.44,-240.64,0.1
1,90.11,-61.44,-240.64,0.1
1,96.26,-56.32,-253.95,0.2
1,96.26,-56.32,-253.95,0.2
1,96.26,-56.32,-253.95,0.2
1,96.26,-56.32,-253.95,0.2
1,96.26,-56.32,-253.95,0.2
1,96.26,-56.32,-253.95,0.2
1,98.3,-48.13,-253.95,0.2
1,98.3,-48.13,-253.95,0.2
1,98.3,-48.13,-253.95,0.2
1,98.3,-48.13,-253.95,0.2
1,98.3,-48.13,-253.95,0.2
1,93.18,-49.15,-229.38,0.3
1,93.18,-49.15,-229.38,0.3
1,93.18,-49.15,-229.38,0.3
1,93.18,-49.15,-229.38,0.3
1,93.18,-49.15,-229.38,0.3
1,93.18,-49.15,-229.38,0.3
1,122.88,-65.54,-204.8,13.6
1,122.88,-65.54,-204.8,13.6
1,122.88,-65.54,-204.8,13.6
1,122.88,-65.54,-204.8,13.6
1,122.88,-65.54,-204.8,13.6
1,108.54,-68.61,-246.78,114.9
1,108.54,-68.61,-246.78,114.9
1,108.54,-68.61,-246.78,114.9
1,108.54,-68.61,-246.78,114.9
1,108.54,-68.61,-246.78,114.9
1,108.54,-68.61,-246.78,114.9
1,111.62,-75.78,-234.5,338.5
1,111.62,-75.78,-234.5,338.5
1,111.62,-75.78,-234.5,338.5
1,111.62,-75.78,-234.5,338.5
1,111.62,-75.78,-234.5,338.5
1,111.62,-75.78,-234.5,338.5
1,112.64,-81.92,-220.16,601.5
1,112.64,-81.92,-220.16,601.5
1,112.64,-81.92,-220.16,601.5
1,112.64,-81.92,-220.16,601.5
1,112.64,-81.92,-220.16,601.5
1,104.45,-88.06,-224.26,802.6
