roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
71.54,157.86,-14.65,65.54,233.47,77.82,78.2,634.0,0.9491018,-34.0,489.0,0.9174484,-44.0,522.0,0.96309966,-20.0,503.0,0.830033,-103.0,667.0,0.9099591,-66.0,605.0,0.8976261,-69.0,659.0,1.1057047,63.0,766.0,1.0351351,26.0,673.0,0.98680353,-9.0
71.54,157.86,-14.65,65.54,233.47,77.82,78.2,636.0,0.9520958,-32.0,498.0,0.934334,-35.0,525.0,0.96863467,-17.0,505.0,0.8333333,-101.0,670.0,0.91405183,-63.0,607.0,0.90059346,-67.0,659.0,1.1057047,63.0,772.0,1.0432433,32.0,673.0,0.98680353,-9.0
71.67,157.67,-14.67,65.54,234.5,78.85,85.0,644.0,0.96407187,-24.0,503.0,0.9437148,-30.0,527.0,0.9723247,-15.0,509.0,0.839934,-97.0,670.0,0.91405183,-63.0,608.0,0.90207714,-66.0,659.0,1.1057047,63.0,782.0,1.0567567,42.0,673.0,0.98680353,-9.0
71.67,157.67,-14.67,65.54,234.5,78.85,85.0,648.0,0.9700599,-20.0,505.0,0.94746715,-28.0,527.0,0.9723247,-15.0,510.0,0.84158415,-96.0,670.0,0.91405183,-63.0,622.0,0.92284864,-52.0,659.0,1.1057047,63.0,785.0,1.0608108,45.0,673.0,0.98680353,-9.0
71.45,157.73,-14.74,64.51,230.4,77.82,85.3,649.0,0.9715569,-19.0,506.0,0.9493433,-27.0,528.0,0.97416973,-14.0,510.0,0.84158415,-96.0,668.0,0.9113233,-65.0,624.0,0.925816,-50.0,659.0,1.1057047,63.0,786.0,1.0621622,46.0,660.0,0.9677419,-22.0
71.45,157.73,-14.74,64.51,230.4,77.82,85.3,644.0,0.96407187,-24.0,503.0,0.9437148,-30.0,526.0,0.9704797,-16.0,509.0,0.839934,-97.0,667.0,0.9099591,-66.0,623.0,0.9243323,-51.0,659.0,1.1057047,63.0,786.0,1.0621622,46.0,660.0,0.9677419,-22.0
71.48,157.65,-14.78,65.54,233.47,77.82,82.2,639.0,0.95658684,-29.0,501.0,0.9399625,-32.0,526.0,0.9704797,-16.0,506.0,0.8349835,-100.0,666.0,0.9085948,-67.0,623.0,0.9243323,-51.0,659.0,1.1057047,63.0,786.0,1.0621622,46.0,660.0,0.9677419,-22.0
71.48,157.65,-14.78,65.54,233.47,77.82,82.2,639.0,0.95658684,-29.0,501.0,0.9399625,-32.0,526.0,0.9704797,-16.0,506.0,0.8349835,-100.0,664.0,0.9058663,-69.0,621.0,0.92136496,-53.0,654.0,1.0973154,58.0,786.0,1.0621622,46.0,660.0,0.9677419,-22.0
71.44,157.63,-14.73,64.51,232.45,77.82,80.9,639.0,0.95658684,-29.0,501.0,0.9399625,-32.0,524.0,0.96678966,-18.0,506.0,0.8349835,-100.0,663.0,0.90450203,-70.0,621.0,0.92136496,-53.0,654.0,1.0973154,58.0,786.0,1.0621622,46.0,660.0,0.9677419,-22.0
71.44,157.63,-14.73,64.51,232.45,77.82,80.9,644.0,0.96407187,-24.0,501.0,0.9399625,-32.0,526.0,0.9704797,-16.0,506.0,0.8349835,-100.0,663.0,0.90450203,-70.0,621.0,0.92136496,-53.0,656.0,1.1006712,60.0,786.0,1.0621622,46.0,660.0,0.9677419,-22.0
71.44,157.63,-14.73,64.51,232.45,77.82,80.9,644.0,0.96407187,-24.0,501.0,0.9399625,-32.0,526.0,0.9704797,-16.0,506.0,0.8349835,-100.0,663.0,0.90450203,-70.0,621.0,0.92136496,-53.0,659.0,1.1057047,63.0,787.0,1.0635135,47.0,662.0,0.9706745,-20.0
71.55,157.63,-14.78,65.54,232.45,78.85,82.1,644.0,0.96407187,-24.0,501.0,0.9399625,-32.0,526.0,0.9704797,-16.0,506.0,0.8349835,-100.0,663.0,0.90450203,-70.0,621.0,0.92136496,-53.0,659.0,1.1057047,63.0,787.0,1.0635135,47.0,663.0,0.9721408,-19.0
71.49,157.59,-14.8,64.51,231.42,77.82,82.1,644.0,0.96407187,-24.0,501.0,0.9399625,-32.0,527.0,0.9723247,-15.0,506.0,0.8349835,-100.0,663.0,0.90450203,-70.0,623.0,0.9243323,-51.0,662.0,1.1107383,66.0,787.0,1.0635135,47.0,663.0,0.9721408,-19.0
71.49,157.59,-14.8,64.51,231.42,77.82,82.1,638.0,0.9550898,-30.0,495.0,0.92870545,-38.0,528.0,0.97416973,-14.0,495.0,0.8168317,-111.0,663.0,0.90450203,-70.0,623.0,0.9243323,-51.0,662.0,1.1107383,66.0,782.0,1.0567567,42.0,667.0,0.9780059,-15.0
71.49,157.59,-14.8,64.51,231.42,77.82,82.1,637.0,0.95359284,-31.0,494.0,0.9268293,-39.0,527.0,0.9723247,-15.0,493.0,0.81353134,-113.0,663.0,0.90450203,-70.0,621.0,0.92136496,-53.0,659.0,1.1057047,63.0,782.0,1.0567567,42.0,667.0,0.9780059,-15.0
71.47,157.57,-14.78,63.49,232.45,77.82,78.1,637.0,0.95359284,-31.0,491.0,0.92120075,-42.0,527.0,0.9723247,-15.0,493.0,0.81353134,-113.0,661.0,0.9017735,-72.0,617.0,0.91543025,-57.0,659.0,1.1057047,63.0,779.0,1.0527027,39.0,667.0,0.9780059,-15.0
71.47,157.57,-14.78,63.49,232.45,77.82,78.1,635.0,0.9505988,-33.0,491.0,0.92120075,-42.0,526.0,0.9704797,-16.0,491.0,0.81023103,-115.0,660.0,0.9004093,-73.0,614.0,0.9109792,-60.0,659.0,1.1057047,63.0,777.0,1.05,37.0,667.0,0.9780059,-15.0
71.29,157.58,-14.59,64.51,231.42,78.85,76.7,635.0,0.9505988,-33.0,491.0,0.92120075,-42.0,526.0,0.9704797,-16.0,491.0,0.81023103,-115.0,659.0,0.89904505,-74.0,614.0,0.9109792,-60.0,659.0,1.1057047,63.0,777.0,1.05,37.0,665.0,0.97507334,-17.0
71.29,157.58,-14.59,64.51,231.42,78.85,76.7,635.0,0.9505988,-33.0,491.0,0.92120075,-42.0,527.0,0.9723247,-15.0,491.0,0.81023103,-115.0,659.0,0.89904505,-74.0,614.0,0.9109792,-60.0,659.0,1.1057047,63.0,777.0,1.05,37.0,667.0,0.9780059,-15.0
71.27,157.55,-14.66,64.51,232.45,77.82,76.7,635.0,0.9505988,-33.0,491.0,0.92120075,-42.0,527.0,0.9723247,-15.0,491.0,0.81023103,-115.0,659.0,0.89904505,-74.0,614.0,0.9109792,-60.0,661.0,1.1090604,65.0,777.0,1.05,37.0,669.0,0.98093843,-13.0
