# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
200,50,0,0,0,0,0,0,0,0,0
96,154,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,214,0,0,0,0,36,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,150,0,50,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,150,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
