# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
1886,174,0,165,0,0,88,0,187,0,0
138,2281,0,0,0,0,81,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
93,0,0,2154,0,0,0,0,253,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
57,112,0,0,0,0,2281,0,50,0,0
0,0,0,0,0,0,0,0,0,0,0
212,58,0,535,0,0,19,0,1676,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
