taskNumber,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0,-9.22,261.12,24.58,104.8,416.0,0.76330274,-129.0,514.0,0.7993779,-129.0,507.0,0.8941799,-60.0,726.0,1.1709677,106.0,716.0,1.0391872,27.0,661.0,1.007622,5.0,577.0,0.9931153,-4.0,508.0,0.8624788,-81.0,599.0,0.9507936,-31.0
0,-10.24,262.14,22.53,105.4,632.0,1.159633,87.0,548.0,0.85225505,-95.0,518.0,0.91358024,-49.0,977.0,1.5758065,357.0,712.0,1.0333817,23.0,679.0,1.035061,23.0,621.0,1.0688468,40.0,529.0,0.89813244,-60.0,610.0,0.96825397,-20.0
0,-10.24,262.14,22.53,105.4,632.0,1.159633,87.0,562.0,0.87402797,-81.0,518.0,0.91358024,-49.0,977.0,1.5758065,357.0,712.0,1.0333817,23.0,683.0,1.0411586,27.0,629.0,1.0826162,48.0,529.0,0.89813244,-60.0,611.0,0.96984124,-19.0
0,-9.22,261.12,23.55,100.0,632.0,1.159633,87.0,566.0,0.88024884,-77.0,518.0,0.91358024,-49.0,977.0,1.5758065,357.0,714.0,1.0362844,25.0,683.0,1.0411586,27.0,632.0,1.0877796,51.0,529.0,0.89813244,-60.0,618.0,0.9809524,-12.0
0,-9.22,261.12,23.55,100.0,604.0,1.1082569,59.0,567.0,0.88180405,-76.0,513.0,0.9047619,-54.0,960.0,1.548387,340.0,715.0,1.0377358,26.0,684.0,1.0426829,28.0,631.0,1.0860585,50.0,527.0,0.8947368,-62.0,624.0,0.9904762,-6.0
0,-9.22,261.12,24.58,99.3,602.0,1.1045872,57.0,567.0,0.88180405,-76.0,513.0,0.9047619,-54.0,948.0,1.5290322,328.0,715.0,1.0377358,26.0,684.0,1.0426829,28.0,630.0,1.0843374,49.0,526.0,0.89303905,-63.0,624.0,0.9904762,-6.0
0,-9.22,261.12,24.58,99.3,577.0,1.0587156,32.0,567.0,0.88180405,-76.0,512.0,0.9029982,-55.0,932.0,1.5032258,312.0,715.0,1.0377358,26.0,684.0,1.0426829,28.0,629.0,1.0826162,48.0,523.0,0.88794565,-66.0,624.0,0.9904762,-6.0
0,-10.24,260.1,24.58,98.3,573.0,1.0513761,28.0,569.0,0.88491446,-74.0,513.0,0.9047619,-54.0,910.0,1.467742,290.0,719.0,1.0435413,30.0,701.0,1.0685976,45.0,630.0,1.0843374,49.0,523.0,0.88794565,-66.0,639.0,1.0142857,9.0
0,-10.24,260.1,24.58,98.3,573.0,1.0513761,28.0,569.0,0.88491446,-74.0,513.0,0.9047619,-54.0,910.0,1.467742,290.0,719.0,1.0435413,30.0,702.0,1.070122,46.0,630.0,1.0843374,49.0,523.0,0.88794565,-66.0,640.0,1.0158731,10.0
0,-10.24,260.1,24.58,98.3,569.0,1.0440367,24.0,572.0,0.8895801,-71.0,514.0,0.90652555,-53.0,905.0,1.4596775,285.0,719.0,1.0435413,30.0,704.0,1.0731708,48.0,631.0,1.0860585,50.0,522.0,0.8862479,-67.0,640.0,1.0158731,10.0
0,-10.24,262.14,23.55,103.1,567.0,1.040367,22.0,572.0,0.8895801,-71.0,514.0,0.90652555,-53.0,904.0,1.4580646,284.0,718.0,1.0420899,29.0,704.0,1.0731708,48.0,631.0,1.0860585,50.0,522.0,0.8862479,-67.0,640.0,1.0158731,10.0
0,-10.24,262.14,23.55,103.1,562.0,1.0311927,17.0,572.0,0.8895801,-71.0,514.0,0.90652555,-53.0,904.0,1.4580646,284.0,718.0,1.0420899,29.0,704.0,1.0731708,48.0,631.0,1.0860585,50.0,522.0,0.8862479,-67.0,640.0,1.0158731,10.0
0,-10.24,261.12,24.58,104.0,561.0,1.0293578,16.0,572.0,0.8895801,-71.0,514.0,0.90652555,-53.0,895.0,1.4435484,275.0,718.0,1.0420899,29.0,704.0,1.0731708,48.0,631.0,1.0860585,50.0,522.0,0.8862479,-67.0,640.0,1.0158731,10.0
0,-10.24,261.12,24.58,104.0,560.0,1.0275229,15.0,572.0,0.8895801,-71.0,514.0,0.90652555,-53.0,894.0,1.4419355,274.0,718.0,1.0420899,29.0,704.0,1.0731708,48.0,631.0,1.0860585,50.0,522.0,0.8862479,-67.0,640.0,1.0158731,10.0
0,-10.24,261.12,24.58,105.2,561.0,1.0293578,16.0,572.0,0.8895801,-71.0,514.0,0.90652555,-53.0,895.0,1.4435484,275.0,719.0,1.0435413,30.0,707.0,1.0777439,51.0,631.0,1.0860585,50.0,522.0,0.8862479,-67.0,640.0,1.0158731,10.0
0,-10.24,261.12,24.58,105.2,562.0,1.0311927,17.0,575.0,0.89424574,-68.0,514.0,0.90652555,-53.0,895.0,1.4435484,275.0,719.0,1.0435413,30.0,707.0,1.0777439,51.0,632.0,1.0877796,51.0,523.0,0.88794565,-66.0,642.0,1.0190476,12.0
0,-10.24,259.07,22.53,104.6,564.0,1.0348624,19.0,575.0,0.89424574,-68.0,514.0,0.90652555,-53.0,904.0,1.4580646,284.0,719.0,1.0435413,30.0,708.0,1.0792683,52.0,632.0,1.0877796,51.0,523.0,0.88794565,-66.0,647.0,1.0269841,17.0
0,-10.24,259.07,22.53,104.6,567.0,1.040367,22.0,575.0,0.89424574,-68.0,516.0,0.9100529,-51.0,904.0,1.4580646,284.0,721.0,1.0464442,32.0,711.0,1.0838414,55.0,632.0,1.0877796,51.0,525.0,0.89134127,-64.0,648.0,1.0285715,18.0
0,-9.22,262.14,24.58,106.7,568.0,1.0422019,23.0,576.0,0.89580095,-67.0,514.0,0.90652555,-53.0,905.0,1.4596775,285.0,722.0,1.0478956,33.0,711.0,1.0838414,55.0,633.0,1.0895009,52.0,527.0,0.8947368,-62.0,649.0,1.0301588,19.0
0,-9.22,262.14,24.58,106.7,568.0,1.0422019,23.0,576.0,0.89580095,-67.0,514.0,0.90652555,-53.0,905.0,1.4596775,285.0,722.0,1.0478956,33.0,711.0,1.0838414,55.0,633.0,1.0895009,52.0,524.0,0.8896435,-65.0,649.0,1.0301588,19.0
0,-9.22,261.12,24.58,105.4,560.0,1.0275229,15.0,578.0,0.89891136,-65.0,512.0,0.9029982,-55.0,895.0,1.4435484,275.0,726.0,1.053701,37.0,724.0,1.1036586,68.0,636.0,1.0946643,55.0,522.0,0.8862479,-67.0,665.0,1.0555556,35.0
0,-9.22,261.12,24.58,105.4,560.0,1.0275229,15.0,578.0,0.89891136,-65.0,512.0,0.9029982,-55.0,895.0,1.4435484,275.0,726.0,1.053701,37.0,729.0,1.1112804,73.0,637.0,1.0963856,56.0,522.0,0.8862479,-67.0,675.0,1.0714285,45.0
0,-10.24,261.12,23.55,103.5,560.0,1.0275229,15.0,581.0,0.90357697,-62.0,512.0,0.9029982,-55.0,897.0,1.4467742,277.0,727.0,1.0551524,38.0,732.0,1.1158537,76.0,637.0,1.0963856,56.0,522.0,0.8862479,-67.0,675.0,1.0714285,45.0
0,-10.24,261.12,23.55,103.5,536.0,0.98348624,-9.0,581.0,0.90357697,-62.0,512.0,0.9029982,-55.0,895.0,1.4435484,275.0,728.0,1.0566038,39.0,734.0,1.1189024,78.0,637.0,1.0963856,56.0,523.0,0.88794565,-66.0,680.0,1.0793651,50.0
0,-9.22,261.12,24.58,102.5,536.0,0.98348624,-9.0,581.0,0.90357697,-62.0,512.0,0.9029982,-55.0,895.0,1.4435484,275.0,728.0,1.0566038,39.0,729.0,1.1112804,73.0,637.0,1.0963856,56.0,523.0,0.88794565,-66.0,675.0,1.0714285,45.0
0,-9.22,261.12,24.58,102.5,536.0,0.98348624,-9.0,581.0,0.90357697,-62.0,512.0,0.9029982,-55.0,888.0,1.432258,268.0,728.0,1.0566038,39.0,729.0,1.1112804,73.0,636.0,1.0946643,55.0,523.0,0.88794565,-66.0,666.0,1.0571429,36.0
0,-9.22,261.12,23.55,101.1,536.0,0.98348624,-9.0,581.0,0.90357697,-62.0,512.0,0.9029982,-55.0,888.0,1.432258,268.0,726.0,1.053701,37.0,728.0,1.1097561,72.0,636.0,1.0946643,55.0,523.0,0.88794565,-66.0,665.0,1.0555556,35.0
0,-9.22,261.12,23.55,101.1,536.0,0.98348624,-9.0,581.0,0.90357697,-62.0,512.0,0.9029982,-55.0,888.0,1.432258,268.0,726.0,1.053701,37.0,724.0,1.1036586,68.0,636.0,1.0946643,55.0,523.0,0.88794565,-66.0,657.0,1.0428572,27.0
0,-10.24,262.14,23.55,104.7,548.0,1.0055046,3.0,581.0,0.90357697,-62.0,514.0,0.90652555,-53.0,895.0,1.4435484,275.0,726.0,1.053701,37.0,728.0,1.1097561,72.0,636.0,1.0946643,55.0,527.0,0.8947368,-62.0,657.0,1.0428572,27.0
0,-10.24,262.14,23.55,104.7,568.0,1.0422019,23.0,581.0,0.90357697,-62.0,517.0,0.9118166,-50.0,904.0,1.4580646,284.0,726.0,1.053701,37.0,729.0,1.1112804,73.0,637.0,1.0963856,56.0,528.0,0.89643466,-61.0,658.0,1.0444444,28.0
1,-9.22,261.12,21.5,106.9,579.0,1.0193661,11.0,505.0,0.87826085,-70.0,506.0,0.96380955,-19.0,624.0,1.1512915,82.0,690.0,1.0058309,4.0,708.0,1.0143267,10.0,515.0,1.0425102,21.0,521.0,0.9811676,-10.0,564.0,0.93532336,-39.0
1,-9.22,261.12,21.5,106.9,580.0,1.0211267,12.0,510.0,0.8869565,-65.0,506.0,0.96380955,-19.0,627.0,1.1568266,85.0,690.0,1.0058309,4.0,713.0,1.02149,15.0,517.0,1.0465587,23.0,521.0,0.9811676,-10.0,566.0,0.9386401,-37.0
1,-10.24,260.1,22.53,101.5,594.0,1.0457747,26.0,513.0,0.8921739,-62.0,493.0,0.93904763,-32.0,679.0,1.2527676,137.0,674.0,0.9825073,-12.0,710.0,1.017192,12.0,524.0,1.0607288,30.0,519.0,0.97740114,-12.0,548.0,0.9087894,-55.0
1,-10.24,260.1,22.53,101.5,594.0,1.0457747,26.0,513.0,0.8921739,-62.0,492.0,0.93714285,-33.0,679.0,1.2527676,137.0,674.0,0.9825073,-12.0,707.0,1.012894,9.0,524.0,1.0607288,30.0,519.0,0.97740114,-12.0,548.0,0.9087894,-55.0
1,-8.19,262.14,22.53,102.2,601.0,1.0580986,33.0,513.0,0.8921739,-62.0,492.0,0.93714285,-33.0,680.0,1.2546126,138.0,674.0,0.9825073,-12.0,707.0,1.012894,9.0,525.0,1.0627531,31.0,521.0,0.9811676,-10.0,548.0,0.9087894,-55.0
1,-8.19,262.14,22.53,102.2,608.0,1.0704225,40.0,513.0,0.8921739,-62.0,492.0,0.93714285,-33.0,691.0,1.2749077,149.0,674.0,0.9825073,-12.0,707.0,1.012894,9.0,526.0,1.0647774,32.0,526.0,0.9905838,-5.0,552.0,0.91542286,-51.0
