ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,354,0,315,0,523,90,0,0,386,0,524,0,0,604,242,0,0,1875
2,0,0,0,0,0,0,0,624,0,21,0,0,0,0,0,0,0,2250
4,152,0,0,0,0,478,0,0,0,332,0,174,209,314,0,0,0,2014
6,187,0,89,0,0,42,42,0,0,0,44,0,0,1010,190,0,0,1557
8,0,0,0,0,66,0,0,0,0,0,0,0,0,23,0,0,0,1093
0,90,0,139,0,541,151,0,0,209,0,210,0,0,475,114,0,0,2344
2,181,0,114,0,226,139,0,0,118,0,191,0,0,0,0,0,0,1529
4,182,0,125,0,116,224,200,0,40,0,0,0,0,1088,99,0,0,1641
6,371,0,302,0,0,547,207,0,174,0,60,0,0,790,314,0,0,2093
8,0,0,222,0,269,0,0,0,0,0,161,0,0,0,0,0,0,1484
0,177,0,402,0,989,0,108,0,615,0,481,0,0,762,183,0,0,2941
2,155,0,100,0,293,0,0,317,59,0,0,0,0,0,0,0,0,2377
4,116,0,0,94,0,708,0,120,0,236,0,211,0,452,0,0,0,2463
6,277,0,219,0,0,0,151,0,149,0,60,0,0,932,180,0,0,2239
8,0,0,0,0,81,0,90,0,191,0,0,0,0,236,0,0,0,1553
0,0,0,347,0,1396,0,135,0,456,0,460,0,0,483,0,0,0,3518
2,56,0,265,0,246,0,0,1039,92,0,0,0,0,0,0,0,0,2906
4,71,20,24,0,0,387,40,0,26,0,0,0,0,0,22,0,0,2175
6,448,0,245,0,0,0,600,0,441,0,88,0,0,862,245,0,0,2771
8,0,0,103,0,100,0,164,0,125,0,0,0,0,351,0,0,0,2482
0,104,0,164,0,741,0,52,0,281,0,461,0,0,300,226,0,0,2556
2,108,0,143,0,530,0,153,0,242,0,0,0,0,0,0,0,0,2372
4,99,0,0,0,0,436,0,0,26,0,0,0,0,321,69,0,0,1921
6,205,0,181,0,305,0,429,0,0,0,63,0,0,614,195,0,0,2273
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294
0,220,0,442,0,715,0,87,0,357,0,417,0,0,614,300,0,0,2197
2,112,0,296,0,528,150,0,522,354,0,93,0,0,0,0,0,0,2695
4,0,0,0,0,0,857,0,630,0,580,0,284,0,108,0,0,0,2596
6,142,0,0,0,0,762,663,0,0,0,0,137,0,911,0,0,0,3756
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973
0,50,0,0,0,425,0,0,159,60,0,469,0,0,120,94,0,0,2556
2,70,0,0,0,77,0,0,0,20,0,0,0,0,0,0,0,0,2654
4,0,0,0,0,0,941,0,387,0,548,0,318,0,374,0,0,0,2690
6,181,0,0,0,0,283,196,0,0,0,0,0,0,707,189,0,0,2619
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810
0,0,0,0,0,1023,0,0,304,261,0,415,0,0,465,70,0,0,2234
2,0,0,0,0,84,0,0,1276,0,0,0,0,90,0,0,0,0,2708
4,0,0,0,100,170,378,20,284,204,330,0,165,0,0,0,0,0,2780
6,158,0,0,0,0,384,130,0,0,233,0,0,278,0,209,0,0,2150
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465
0,0,0,0,0,476,0,0,187,0,0,167,0,0,862,144,0,0,3203
2,80,0,456,0,838,0,0,759,580,0,265,0,0,21,0,0,0,2115
4,76,0,0,0,0,647,0,129,0,0,0,116,0,217,0,0,0,1821
6,165,0,0,80,0,765,197,0,0,396,21,48,0,600,257,0,0,1979
8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1504
