taskNumber,yaxis,xaxis,zaxis,force
0,115.71,-10.24,-233.47,82.9
0,183.3,-17.41,-190.46,103.9
0,183.3,-17.41,-190.46,103.9
0,183.3,-17.41,-190.46,103.9
0,183.3,-17.41,-190.46,103.9
0,183.3,-17.41,-190.46,103.9
0,183.3,-17.41,-190.46,103.9
0,144.38,70.66,-29.7,60.7
0,144.38,70.66,-29.7,60.7
0,144.38,70.66,-29.7,60.7
0,144.38,70.66,-29.7,60.7
0,144.38,70.66,-29.7,60.7
0,87.04,-50.18,-211.97,4.9
0,87.04,-50.18,-211.97,4.9
0,87.04,-50.18,-211.97,4.9
0,87.04,-50.18,-211.97,4.9
0,87.04,-50.18,-211.97,4.9
0,87.04,-50.18,-211.97,4.9
0,28.67,-82.94,-244.74,0.1
0,28.67,-82.94,-244.74,0.1
0,28.67,-82.94,-244.74,0.1
0,28.67,-82.94,-244.74,0.1
0,28.67,-82.94,-244.74,0.1
0,-28.67,-68.61,-203.78,0.0
1,57.34,-37.89,-254.98,0.3
1,57.34,-37.89,-254.98,0.3
1,57.34,-37.89,-254.98,0.3
1,57.34,-37.89,-254.98,0.3
1,57.34,-37.89,-254.98,0.3
1,64.51,-34.82,-260.1,0.4
1,64.51,-34.82,-260.1,0.4
1,64.51,-34.82,-260.1,0.4
1,64.51,-34.82,-260.1,0.4
1,64.51,-34.82,-260.1,0.4
1,64.51,-34.82,-260.1,0.4
1,47.1,-32.77,-274.43,0.4
1,47.1,-32.77,-274.43,0.4
1,47.1,-32.77,-274.43,0.4
1,47.1,-32.77,-274.43,0.4
1,47.1,-32.77,-274.43,0.4
1,36.86,-15.36,-276.48,0.4
1,36.86,-15.36,-276.48,0.4
1,36.86,-15.36,-276.48,0.4
1,36.86,-15.36,-276.48,0.4
1,36.86,-15.36,-276.48,0.4
1,36.86,-15.36,-276.48,0.4
1,103.42,-29.7,-274.43,0.4
1,103.42,-29.7,-274.43,0.4
1,103.42,-29.7,-274.43,0.4
1,103.42,-29.7,-274.43,0.4
1,103.42,-29.7,-274.43,0.4
1,160.77,-49.15,-288.77,0.4
1,160.77,-49.15,-288.77,0.4
1,160.77,-49.15,-288.77,0.4
1,160.77,-49.15,-288.77,0.4
1,160.77,-49.15,-288.77,0.4
1,160.77,-49.15,-288.77,0.4
1,107.52,-16.38,-173.06,0.4
1,107.52,-16.38,-173.06,0.4
1,107.52,-16.38,-173.06,0.4
1,107.52,-16.38,-173.06,0.4
1,107.52,-16.38,-173.06,0.4
1,122.88,-33.79,-202.75,0.3
1,122.88,-33.79,-202.75,0.3
1,122.88,-33.79,-202.75,0.3
1,122.88,-33.79,-202.75,0.3
1,122.88,-33.79,-202.75,0.3
1,122.88,-33.79,-202.75,0.3
1,107.52,-14.34,-198.66,0.4
1,107.52,-14.34,-198.66,0.4
1,107.52,-14.34,-198.66,0.4
1,107.52,-14.34,-198.66,0.4
1,107.52,-14.34,-198.66,0.4
1,134.14,-5.12,-226.3,0.5
1,134.14,-5.12,-226.3,0.5
1,134.14,-5.12,-226.3,0.5
1,134.14,-5.12,-226.3,0.5
1,134.14,-5.12,-226.3,0.5
1,134.14,-5.12,-226.3,0.5
1,133.12,33.79,-195.58,0.4
1,133.12,33.79,-195.58,0.4
1,133.12,33.79,-195.58,0.4
1,133.12,33.79,-195.58,0.4
1,133.12,33.79,-195.58,0.4
1,289.79,-82.94,-219.14,4.3
1,289.79,-82.94,-219.14,4.3
1,289.79,-82.94,-219.14,4.3
1,289.79,-82.94,-219.14,4.3
1,289.79,-82.94,-219.14,4.3
1,289.79,-82.94,-219.14,4.3
1,178.18,-60.42,-187.39,30.3
1,178.18,-60.42,-187.39,30.3
1,178.18,-60.42,-187.39,30.3
1,178.18,-60.42,-187.39,30.3
1,178.18,-60.42,-187.39,30.3
1,178.18,-60.42,-187.39,30.3
1,175.1,19.46,-182.27,59.0
1,175.1,19.46,-182.27,59.0
1,175.1,19.46,-182.27,59.0
1,175.1,19.46,-182.27,59.0
1,175.1,19.46,-182.27,59.0
1,151.55,67.58,-199.68,74.9
1,151.55,67.58,-199.68,74.9
1,151.55,67.58,-199.68,74.9
1,151.55,67.58,-199.68,74.9
1,151.55,67.58,-199.68,74.9
1,151.55,67.58,-199.68,74.9
1,133.12,140.29,-209.92,81.4
1,133.12,140.29,-209.92,81.4
1,133.12,140.29,-209.92,81.4
1,133.12,140.29,-209.92,81.4
1,133.12,140.29,-209.92,81.4
1,133.12,140.29,-209.92,81.4
1,174.08,30.72,-188.42,90.3
1,174.08,30.72,-188.42,90.3
1,174.08,30.72,-188.42,90.3
1,174.08,30.72,-188.42,90.3
1,174.08,30.72,-188.42,90.3
1,178.18,64.51,-195.58,90.6
1,178.18,64.51,-195.58,90.6
1,178.18,64.51,-195.58,90.6
1,178.18,64.51,-195.58,90.6
1,178.18,64.51,-195.58,90.6
1,178.18,64.51,-195.58,90.6
1,174.08,73.73,-199.68,87.1
1,174.08,73.73,-199.68,87.1
1,174.08,73.73,-199.68,87.1
1,174.08,73.73,-199.68,87.1
1,174.08,73.73,-199.68,87.1
1,192.51,-108.54,-182.27,101.0
1,192.51,-108.54,-182.27,101.0
1,192.51,-108.54,-182.27,101.0
1,192.51,-108.54,-182.27,101.0
1,192.51,-108.54,-182.27,101.0
1,192.51,-108.54,-182.27,101.0
1,191.49,3.07,-184.32,105.8
1,191.49,3.07,-184.32,105.8
1,191.49,3.07,-184.32,105.8
1,191.49,3.07,-184.32,105.8
1,191.49,3.07,-184.32,105.8
1,162.82,-13.31,-202.75,48.7
1,162.82,-13.31,-202.75,48.7
1,162.82,-13.31,-202.75,48.7
1,162.82,-13.31,-202.75,48.7
1,162.82,-13.31,-202.75,48.7
1,162.82,-13.31,-202.75,48.7
1,204.8,32.77,-199.68,4.2
1,204.8,32.77,-199.68,4.2
1,204.8,32.77,-199.68,4.2
1,204.8,32.77,-199.68,4.2
1,204.8,32.77,-199.68,4.2
1,215.04,-1.02,-189.44,6.0
1,215.04,-1.02,-189.44,6.0
1,215.04,-1.02,-189.44,6.0
1,215.04,-1.02,-189.44,6.0
1,215.04,-1.02,-189.44,6.0
1,215.04,-1.02,-189.44,6.0
1,208.9,18.43,-162.82,39.5
1,208.9,18.43,-162.82,39.5
1,208.9,18.43,-162.82,39.5
1,208.9,18.43,-162.82,39.5
1,208.9,18.43,-162.82,39.5
1,181.25,20.48,-185.34,79.3
1,181.25,20.48,-185.34,79.3
1,181.25,20.48,-185.34,79.3
1,181.25,20.48,-185.34,79.3
1,181.25,20.48,-185.34,79.3
1,181.25,20.48,-185.34,79.3
1,126.98,24.58,-254.98,99.6
1,126.98,24.58,-254.98,99.6
1,126.98,24.58,-254.98,99.6
1,126.98,24.58,-254.98,99.6
1,126.98,24.58,-254.98,99.6
1,167.94,23.55,-217.09,119.4
1,167.94,23.55,-217.09,119.4
1,167.94,23.55,-217.09,119.4
1,167.94,23.55,-217.09,119.4
1,167.94,23.55,-217.09,119.4
1,167.94,23.55,-217.09,119.4
1,197.63,4.1,-184.32,140.4
1,197.63,4.1,-184.32,140.4
1,197.63,4.1,-184.32,140.4
1,197.63,4.1,-184.32,140.4
1,197.63,4.1,-184.32,140.4
1,197.63,4.1,-184.32,140.4
1,179.2,-8.19,-154.62,63.6
1,179.2,-8.19,-154.62,63.6
1,179.2,-8.19,-154.62,63.6
1,179.2,-8.19,-154.62,63.6
1,179.2,-8.19,-154.62,63.6
1,133.12,-19.46,-236.54,3.8
1,133.12,-19.46,-236.54,3.8
1,133.12,-19.46,-236.54,3.8
1,133.12,-19.46,-236.54,3.8
1,133.12,-19.46,-236.54,3.8
1,133.12,-19.46,-236.54,3.8
1,-2.05,-118.78,-195.58,0.4
1,-2.05,-118.78,-195.58,0.4
1,-2.05,-118.78,-195.58,0.4
1,-2.05,-118.78,-195.58,0.4
1,-2.05,-118.78,-195.58,0.4
1,40.96,61.44,-303.1,0.4
1,40.96,61.44,-303.1,0.4
1,40.96,61.44,-303.1,0.4
1,40.96,61.44,-303.1,0.4
1,40.96,61.44,-303.1,0.4
1,40.96,61.44,-303.1,0.4
1,49.15,-50.18,-235.52,0.5
1,49.15,-50.18,-235.52,0.5
1,49.15,-50.18,-235.52,0.5
2,118.78,-45.06,-211.97,0.3
2,118.78,-45.06,-211.97,0.3
2,118.78,-45.06,-211.97,0.3
2,118.78,-45.06,-211.97,0.3
2,118.78,-45.06,-211.97,0.3
2,118.78,-45.06,-211.97,0.3
2,136.19,-24.58,-205.82,0.4
2,136.19,-24.58,-205.82,0.4
2,136.19,-24.58,-205.82,0.4
2,136.19,-24.58,-205.82,0.4
2,136.19,-24.58,-205.82,0.4
2,136.19,-24.58,-205.82,0.4
2,131.07,-21.5,-206.85,0.3
2,131.07,-21.5,-206.85,0.3
2,131.07,-21.5,-206.85,0.3
2,131.07,-21.5,-206.85,0.3
2,131.07,-21.5,-206.85,0.3
2,139.26,-13.31,-222.21,0.3
2,139.26,-13.31,-222.21,0.3
2,139.26,-13.31,-222.21,0.3
2,139.26,-13.31,-222.21,0.3
2,139.26,-13.31,-222.21,0.3
2,139.26,-13.31,-222.21,0.3
2,147.46,-32.77,-217.09,0.3
2,147.46,-32.77,-217.09,0.3
2,147.46,-32.77,-217.09,0.3
2,147.46,-32.77,-217.09,0.3
2,147.46,-32.77,-217.09,0.3
2,144.38,1.02,-216.06,0.2
2,144.38,1.02,-216.06,0.2
2,144.38,1.02,-216.06,0.2
2,144.38,1.02,-216.06,0.2
2,144.38,1.02,-216.06,0.2
2,144.38,1.02,-216.06,0.2
2,161.79,26.62,-201.73,0.3
2,161.79,26.62,-201.73,0.3
2,161.79,26.62,-201.73,0.3
2,161.79,26.62,-201.73,0.3
2,161.79,26.62,-201.73,0.3
2,184.32,-15.36,-189.44,6.2
2,184.32,-15.36,-189.44,6.2
2,184.32,-15.36,-189.44,6.2
2,184.32,-15.36,-189.44,6.2
2,184.32,-15.36,-189.44,6.2
2,184.32,-15.36,-189.44,6.2
2,171.01,18.43,-191.49,32.1
2,171.01,18.43,-191.49,32.1
2,171.01,18.43,-191.49,32.1
2,171.01,18.43,-191.49,32.1
2,171.01,18.43,-191.49,32.1
2,171.01,18.43,-191.49,32.1
2,179.2,17.41,-190.46,53.0
2,179.2,17.41,-190.46,53.0
2,179.2,17.41,-190.46,53.0
2,179.2,17.41,-190.46,53.0
2,179.2,17.41,-190.46,53.0
2,157.7,89.09,-195.58,58.0
2,157.7,89.09,-195.58,58.0
2,157.7,89.09,-195.58,58.0
2,157.7,89.09,-195.58,58.0
2,157.7,89.09,-195.58,58.0
2,157.7,89.09,-195.58,58.0
2,168.96,74.75,-190.46,53.8
2,168.96,74.75,-190.46,53.8
2,168.96,74.75,-190.46,53.8
2,168.96,74.75,-190.46,53.8
2,168.96,74.75,-190.46,53.8
2,174.08,84.99,-184.32,56.4
2,174.08,84.99,-184.32,56.4
2,174.08,84.99,-184.32,56.4
2,174.08,84.99,-184.32,56.4
2,174.08,84.99,-184.32,56.4
2,174.08,84.99,-184.32,56.4
2,179.2,-106.5,-199.68,65.3
2,179.2,-106.5,-199.68,65.3
2,179.2,-106.5,-199.68,65.3
2,179.2,-106.5,-199.68,65.3
2,179.2,-106.5,-199.68,65.3
2,183.3,8.19,-293.89,55.7
2,183.3,8.19,-293.89,55.7
2,183.3,8.19,-293.89,55.7
2,183.3,8.19,-293.89,55.7
2,183.3,8.19,-293.89,55.7
2,183.3,8.19,-293.89,55.7
2,130.05,95.23,-110.59,14.0
2,130.05,95.23,-110.59,14.0
2,130.05,95.23,-110.59,14.0
2,130.05,95.23,-110.59,14.0
2,130.05,95.23,-110.59,14.0
