ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,0,26,0,1981,63,386,100,0,20,1385,0,1635,0,0,61,0,0,2584
2,0,3014,0,1586,0,927,423,4136,0,919,0,1423,0,1160,0,0,0,1963
4,0,876,0,1590,591,0,726,1246,0,1436,118,2054,393,863,0,0,0,2361
6,138,129,0,1561,90,0,379,432,0,105,0,2735,0,976,258,0,0,2604
9,0,0,0,0,602,0,0,0,0,0,760,0,339,0,0,0,0,1037
