roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
96.97,135.46,-63.14,219.14,112.64,-13.31,58.1,555.0,1.1758474,83.0,463.0,0.9726891,-13.0,703.0,1.0086083,6.0,511.0,1.1255506,57.0,582.0,1.1257254,65.0,502.0,0.92619926,-40.0,594.0,0.8839286,-78.0,671.0,1.1127695,68.0,636.0,0.91907513,-56.0
96.97,135.46,-63.14,219.14,112.64,-13.31,58.1,555.0,1.1758474,83.0,462.0,0.9705882,-14.0,703.0,1.0086083,6.0,511.0,1.1255506,57.0,582.0,1.1257254,65.0,498.0,0.9188192,-44.0,592.0,0.88095236,-80.0,671.0,1.1127695,68.0,636.0,0.91907513,-56.0
96.45,135.78,-62.97,217.09,110.59,-13.31,64.7,555.0,1.1758474,83.0,463.0,0.9726891,-13.0,703.0,1.0086083,6.0,520.0,1.1453744,66.0,582.0,1.1257254,65.0,498.0,0.9188192,-44.0,594.0,0.8839286,-78.0,672.0,1.1144278,69.0,636.0,0.91907513,-56.0
96.45,135.78,-62.97,217.09,110.59,-13.31,64.7,555.0,1.1758474,83.0,464.0,0.9747899,-12.0,703.0,1.0086083,6.0,520.0,1.1453744,66.0,583.0,1.1276596,66.0,498.0,0.9188192,-44.0,594.0,0.8839286,-78.0,672.0,1.1144278,69.0,636.0,0.91907513,-56.0
96.74,135.34,-62.68,219.14,110.59,-14.34,60.8,554.0,1.1737288,82.0,464.0,0.9747899,-12.0,705.0,1.0114777,8.0,517.0,1.1387665,63.0,583.0,1.1276596,66.0,493.0,0.9095941,-49.0,595.0,0.8854167,-77.0,669.0,1.1094527,66.0,635.0,0.9176301,-57.0
96.74,135.34,-62.68,219.14,110.59,-14.34,60.8,553.0,1.1716101,81.0,464.0,0.9747899,-12.0,704.0,1.010043,7.0,517.0,1.1387665,63.0,583.0,1.1276596,66.0,493.0,0.9095941,-49.0,594.0,0.8839286,-78.0,669.0,1.1094527,66.0,635.0,0.9176301,-57.0
96.88,135.15,-62.82,220.16,111.62,-14.34,59.2,551.0,1.1673728,79.0,464.0,0.9747899,-12.0,704.0,1.010043,7.0,514.0,1.1321586,60.0,583.0,1.1276596,66.0,493.0,0.9095941,-49.0,594.0,0.8839286,-78.0,669.0,1.1094527,66.0,635.0,0.9176301,-57.0
96.88,135.15,-62.82,220.16,111.62,-14.34,59.2,551.0,1.1673728,79.0,464.0,0.9747899,-12.0,705.0,1.0114777,8.0,517.0,1.1387665,63.0,583.0,1.1276596,66.0,493.0,0.9095941,-49.0,595.0,0.8854167,-77.0,670.0,1.1111112,67.0,635.0,0.9176301,-57.0
97.02,134.99,-62.85,218.11,110.59,-13.31,59.5,552.0,1.1694915,80.0,465.0,0.97689074,-11.0,705.0,1.0114777,8.0,517.0,1.1387665,63.0,584.0,1.1295938,67.0,493.0,0.9095941,-49.0,595.0,0.8854167,-77.0,670.0,1.1111112,67.0,636.0,0.91907513,-56.0
97.02,134.99,-62.85,218.11,110.59,-13.31,59.5,552.0,1.1694915,80.0,467.0,0.98109245,-9.0,707.0,1.0143472,10.0,517.0,1.1387665,63.0,584.0,1.1295938,67.0,494.0,0.9114391,-48.0,598.0,0.88988096,-74.0,671.0,1.1127695,68.0,637.0,0.92052025,-55.0
