taskNumber,yaxis,xaxis,zaxis,force
1,150.53,21.5,-299.01,0.1
1,150.53,21.5,-299.01,0.1
1,150.53,21.5,-299.01,0.1
1,150.53,21.5,-299.01,0.1
1,67.58,-8.19,-179.2,0.0
1,67.58,-8.19,-179.2,0.0
1,67.58,-8.19,-179.2,0.0
1,67.58,-8.19,-179.2,0.0
1,67.58,-8.19,-179.2,0.0
1,67.58,-8.19,-179.2,0.0
1,140.29,-83.97,-238.59,-0.0
1,140.29,-83.97,-238.59,-0.0
1,140.29,-83.97,-238.59,-0.0
1,140.29,-83.97,-238.59,-0.0
1,140.29,-83.97,-238.59,-0.0
1,140.29,-83.97,-238.59,-0.0
1,121.86,1.02,-203.78,-0.1
1,121.86,1.02,-203.78,-0.1
1,121.86,1.02,-203.78,-0.1
1,121.86,1.02,-203.78,-0.1
1,121.86,1.02,-203.78,-0.1
1,166.91,55.3,-242.69,0.5
1,166.91,55.3,-242.69,0.5
1,166.91,55.3,-242.69,0.5
1,166.91,55.3,-242.69,0.5
1,166.91,55.3,-242.69,0.5
1,166.91,55.3,-242.69,0.5
1,160.77,39.94,-192.51,26.0
1,160.77,39.94,-192.51,26.0
1,160.77,39.94,-192.51,26.0
1,160.77,39.94,-192.51,26.0
1,160.77,39.94,-192.51,26.0
1,156.67,43.01,-206.85,193.1
1,156.67,43.01,-206.85,193.1
1,156.67,43.01,-206.85,193.1
1,156.67,43.01,-206.85,193.1
1,156.67,43.01,-206.85,193.1
1,156.67,43.01,-206.85,193.1
1,139.26,38.91,-222.21,609.7
1,139.26,38.91,-222.21,609.7
1,139.26,38.91,-222.21,609.7
1,139.26,38.91,-222.21,609.7
1,139.26,38.91,-222.21,609.7
1,139.26,38.91,-222.21,609.7
1,149.5,47.1,-208.9,888.6
1,149.5,47.1,-208.9,888.6
1,149.5,47.1,-208.9,888.6
1,149.5,47.1,-208.9,888.6
1,149.5,47.1,-208.9,888.6
1,149.5,51.2,-216.06,834.4
1,149.5,51.2,-216.06,834.4
1,149.5,51.2,-216.06,834.4
1,149.5,51.2,-216.06,834.4
1,149.5,51.2,-216.06,834.4
1,149.5,51.2,-216.06,834.4
1,220.16,99.33,-409.6,458.5
1,220.16,99.33,-409.6,458.5
1,220.16,99.33,-409.6,458.5
1,220.16,99.33,-409.6,458.5
1,220.16,99.33,-409.6,458.5
1,75.78,-4.1,-167.94,74.2
1,75.78,-4.1,-167.94,74.2
1,75.78,-4.1,-167.94,74.2
1,75.78,-4.1,-167.94,74.2
1,75.78,-4.1,-167.94,74.2
1,149.5,6.14,-312.32,0.9
1,149.5,6.14,-312.32,0.9
1,149.5,6.14,-312.32,0.9
1,149.5,6.14,-312.32,0.9
1,149.5,6.14,-312.32,0.9
1,149.5,6.14,-312.32,0.9
1,115.71,1.02,-230.4,0.1
1,115.71,1.02,-230.4,0.1
1,115.71,1.02,-230.4,0.1
1,115.71,1.02,-230.4,0.1
1,115.71,1.02,-230.4,0.1
1,115.71,1.02,-230.4,0.1
1,113.66,2.05,-224.26,0.1
1,113.66,2.05,-224.26,0.1
1,113.66,2.05,-224.26,0.1
1,113.66,2.05,-224.26,0.1
1,113.66,2.05,-224.26,0.1
1,105.47,6.14,-240.64,-0.1
1,105.47,6.14,-240.64,-0.1
1,105.47,6.14,-240.64,-0.1
1,105.47,6.14,-240.64,-0.1
1,105.47,6.14,-240.64,-0.1
1,105.47,6.14,-240.64,-0.1
1,117.76,-6.14,-245.76,-0.1
1,117.76,-6.14,-245.76,-0.1
1,117.76,-6.14,-245.76,-0.1
1,117.76,-6.14,-245.76,-0.1
1,117.76,-6.14,-245.76,-0.1
1,86.02,23.55,-234.5,-0.1
1,86.02,23.55,-234.5,-0.1
1,86.02,23.55,-234.5,-0.1
1,86.02,23.55,-234.5,-0.1
1,86.02,23.55,-234.5,-0.1
1,86.02,23.55,-234.5,-0.1
1,101.38,25.6,-263.17,-0.0
1,101.38,25.6,-263.17,-0.0
2,115.71,1.02,-262.14,0.1
2,115.71,1.02,-262.14,0.1
2,115.71,1.02,-262.14,0.1
2,97.28,1.02,-251.9,-0.0
2,97.28,1.02,-251.9,-0.0
2,97.28,1.02,-251.9,-0.0
2,97.28,1.02,-251.9,-0.0
2,97.28,1.02,-251.9,-0.0
2,97.28,1.02,-251.9,-0.0
2,91.14,7.17,-241.66,-0.0
2,91.14,7.17,-241.66,-0.0
2,91.14,7.17,-241.66,-0.0
2,91.14,7.17,-241.66,-0.0
2,91.14,7.17,-241.66,-0.0
2,99.33,0.0,-241.66,-0.0
2,99.33,0.0,-241.66,-0.0
2,99.33,0.0,-241.66,-0.0
2,99.33,0.0,-241.66,-0.0
2,99.33,0.0,-241.66,-0.0
2,99.33,0.0,-241.66,-0.0
2,91.14,13.31,-244.74,-0.1
2,91.14,13.31,-244.74,-0.1
2,91.14,13.31,-244.74,-0.1
2,91.14,13.31,-244.74,-0.1
2,91.14,13.31,-244.74,-0.1
2,80.9,-62.46,-210.94,-0.0
2,80.9,-62.46,-210.94,-0.0
2,80.9,-62.46,-210.94,-0.0
2,80.9,-62.46,-210.94,-0.0
2,80.9,-62.46,-210.94,-0.0
2,80.9,-62.46,-210.94,-0.0
2,81.92,-70.66,-206.85,0.0
2,81.92,-70.66,-206.85,0.0
2,81.92,-70.66,-206.85,0.0
2,81.92,-70.66,-206.85,0.0
2,81.92,-70.66,-206.85,0.0
2,125.95,-23.55,-228.35,-0.0
2,125.95,-23.55,-228.35,-0.0
2,125.95,-23.55,-228.35,-0.0
2,125.95,-23.55,-228.35,-0.0
2,125.95,-23.55,-228.35,-0.0
2,125.95,-23.55,-228.35,-0.0
2,125.95,35.84,-188.42,0.0
2,125.95,35.84,-188.42,0.0
2,125.95,35.84,-188.42,0.0
2,125.95,35.84,-188.42,0.0
2,125.95,35.84,-188.42,0.0
2,143.36,3.07,-229.38,0.0
2,143.36,3.07,-229.38,0.0
2,143.36,3.07,-229.38,0.0
2,143.36,3.07,-229.38,0.0
2,143.36,3.07,-229.38,0.0
2,143.36,3.07,-229.38,0.0
2,208.9,95.23,-225.28,9.3
2,208.9,95.23,-225.28,9.3
2,208.9,95.23,-225.28,9.3
2,208.9,95.23,-225.28,9.3
2,208.9,95.23,-225.28,9.3
2,208.9,95.23,-225.28,9.3
2,156.67,38.91,-218.11,96.9
2,156.67,38.91,-218.11,96.9
2,156.67,38.91,-218.11,96.9
2,156.67,38.91,-218.11,96.9
2,156.67,38.91,-218.11,96.9
2,138.24,51.2,-212.99,371.2
2,138.24,51.2,-212.99,371.2
2,138.24,51.2,-212.99,371.2
2,138.24,51.2,-212.99,371.2
2,138.24,51.2,-212.99,371.2
2,138.24,51.2,-212.99,371.2
2,141.31,45.06,-221.18,708.2
2,141.31,45.06,-221.18,708.2
2,141.31,45.06,-221.18,708.2
2,141.31,45.06,-221.18,708.2
2,141.31,45.06,-221.18,708.2
2,147.46,61.44,-209.92,724.8
2,147.46,61.44,-209.92,724.8
2,147.46,61.44,-209.92,724.8
2,147.46,61.44,-209.92,724.8
2,147.46,61.44,-209.92,724.8
2,147.46,61.44,-209.92,724.8
2,280.58,-13.31,-364.54,323.9
2,280.58,-13.31,-364.54,323.9
2,280.58,-13.31,-364.54,323.9
2,280.58,-13.31,-364.54,323.9
2,280.58,-13.31,-364.54,323.9
2,65.54,19.46,-168.96,33.7
2,65.54,19.46,-168.96,33.7
2,65.54,19.46,-168.96,33.7
2,65.54,19.46,-168.96,33.7
2,65.54,19.46,-168.96,33.7
2,65.54,19.46,-168.96,33.7
2,148.48,28.67,-330.75,0.1
2,148.48,28.67,-330.75,0.1
2,148.48,28.67,-330.75,0.1
2,148.48,28.67,-330.75,0.1
2,148.48,28.67,-330.75,0.1
2,148.48,28.67,-330.75,0.1
2,94.21,-11.26,-243.71,-0.0
2,94.21,-11.26,-243.71,-0.0
2,94.21,-11.26,-243.71,-0.0
2,94.21,-11.26,-243.71,-0.0
2,94.21,-11.26,-243.71,-0.0
2,68.61,-37.89,-202.75,-0.0
2,68.61,-37.89,-202.75,-0.0
2,68.61,-37.89,-202.75,-0.0
2,68.61,-37.89,-202.75,-0.0
2,68.61,-37.89,-202.75,-0.0
2,68.61,-37.89,-202.75,-0.0
2,117.76,-1.02,-278.53,-0.0
2,117.76,-1.02,-278.53,-0.0
2,117.76,-1.02,-278.53,-0.0
2,117.76,-1.02,-278.53,-0.0
2,117.76,-1.02,-278.53,-0.0
2,68.61,6.14,-233.47,0.0
2,68.61,6.14,-233.47,0.0
2,68.61,6.14,-233.47,0.0
2,68.61,6.14,-233.47,0.0
2,68.61,6.14,-233.47,0.0
2,68.61,6.14,-233.47,0.0
2,79.87,17.41,-261.12,0.1
2,79.87,17.41,-261.12,0.1
2,79.87,17.41,-261.12,0.1
2,79.87,17.41,-261.12,0.1
3,69.63,-21.5,-244.74,-0.1
3,69.63,-21.5,-244.74,-0.1
3,69.63,-21.5,-244.74,-0.1
3,69.63,-21.5,-244.74,-0.1
3,72.7,-24.58,-246.78,-0.2
3,72.7,-24.58,-246.78,-0.2
3,72.7,-24.58,-246.78,-0.2
3,72.7,-24.58,-246.78,-0.2
3,72.7,-24.58,-246.78,-0.2
3,72.7,-24.58,-246.78,-0.2
3,86.02,12.29,-262.14,-0.1
3,86.02,12.29,-262.14,-0.1
3,86.02,12.29,-262.14,-0.1
3,86.02,12.29,-262.14,-0.1
3,86.02,12.29,-262.14,-0.1
3,87.04,17.41,-271.36,-0.0
3,87.04,17.41,-271.36,-0.0
3,87.04,17.41,-271.36,-0.0
3,87.04,17.41,-271.36,-0.0
3,87.04,17.41,-271.36,-0.0
3,87.04,17.41,-271.36,-0.0
3,69.63,-20.48,-258.05,-0.1
3,69.63,-20.48,-258.05,-0.1
3,69.63,-20.48,-258.05,-0.1
3,69.63,-20.48,-258.05,-0.1
3,69.63,-20.48,-258.05,-0.1
