# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1200,0,0,0,0,0,0,0,50
0,0,51,1199,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,9,75,0,0,0,1014,0,152,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,0,0,0,281,0,951,0
0,0,0,0,0,0,0,0,0,0,1250
