# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
184,18,47,0,0,1,0,0,0,0,0
83,24,43,16,50,0,0,34,0,0,0
50,0,56,0,63,0,0,81,0,0,0
0,24,17,197,0,0,0,0,12,0,0
50,57,5,0,38,100,0,0,0,0,0
0,0,44,6,0,100,50,0,0,50,0
0,0,50,12,2,112,32,0,38,4,0
0,1,50,50,0,0,96,0,0,53,0
6,27,23,111,0,0,50,33,0,0,0
41,9,13,0,30,115,0,37,0,5,0
19,0,0,0,0,0,0,0,0,0,231
