# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
74,0,50,0,80,0,0,46,0,0,0
0,63,87,0,100,0,0,0,0,0,0
0,0,150,0,57,0,0,43,0,0,0
0,0,0,250,0,0,0,0,0,0,0
0,0,4,0,228,0,18,0,0,0,0
0,0,2,0,43,105,100,0,0,0,0
0,0,0,0,0,0,164,50,0,36,0
0,0,0,0,0,0,107,143,0,0,0
0,0,0,0,0,0,0,0,250,0,0
0,0,0,0,0,3,60,50,0,137,0
0,0,0,29,0,0,0,0,0,0,221
