ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,745,0,60,0,1897,0,0,687,528,0,1523,0,0,0,288,0,0,13349
2,493,0,0,182,196,0,0,786,0,0,115,0,433,0,0,0,0,11475
4,67,85,0,0,0,1332,0,1419,0,1078,0,1044,96,0,0,375,0,12486
6,439,0,363,0,0,1722,1300,0,129,195,0,1469,0,1602,123,0,0,14581
8,168,0,0,127,0,136,0,990,0,302,0,0,186,0,0,87,0,12906
