ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,0,46,0,238,0,1968,0,1137,0,1455,0,1566,0,126,249,0,0,1757
2,0,0,0,0,281,96,0,725,0,0,465,250,267,0,0,0,0,0
4,0,0,0,0,0,1459,0,0,0,467,0,1321,0,0,0,0,0,44
6,0,0,0,0,0,4209,555,0,0,773,0,4019,0,1299,392,0,0,679
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
