roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
87.83,145.76,-53.96,198.66,141.31,2.05,77.0,252.0,0.50501,-247.0,666.0,0.9694323,-21.0,668.0,1.0214068,14.0,126.0,0.22909091,-424.0,543.0,1.0055555,3.0,628.0,1.0261438,16.0,758.0,1.0813124,57.0,639.0,1.004717,3.0,526.0,0.9244288,-43.0
87.83,145.76,-53.96,198.66,141.31,2.05,77.0,257.0,0.5150301,-242.0,666.0,0.9694323,-21.0,669.0,1.0229357,15.0,126.0,0.22909091,-424.0,543.0,1.0055555,3.0,628.0,1.0261438,16.0,758.0,1.0813124,57.0,639.0,1.004717,3.0,526.0,0.9244288,-43.0
87.83,145.76,-53.96,198.66,141.31,2.05,77.0,258.0,0.51703405,-241.0,666.0,0.9694323,-21.0,674.0,1.030581,20.0,126.0,0.22909091,-424.0,543.0,1.0055555,3.0,628.0,1.0261438,16.0,758.0,1.0813124,57.0,639.0,1.004717,3.0,526.0,0.9244288,-43.0
88.88,144.85,-54.13,199.68,142.34,3.07,83.8,277.0,0.5551102,-222.0,651.0,0.9475983,-36.0,667.0,1.0198777,13.0,115.0,0.2090909,-435.0,534.0,0.98888886,-6.0,619.0,1.0114379,7.0,747.0,1.0656205,46.0,639.0,1.004717,3.0,511.0,0.89806676,-58.0
88.88,144.85,-54.13,199.68,142.34,3.07,83.8,277.0,0.5551102,-222.0,651.0,0.9475983,-36.0,666.0,1.0183486,12.0,115.0,0.2090909,-435.0,534.0,0.98888886,-6.0,616.0,1.006536,4.0,746.0,1.064194,45.0,637.0,1.0015724,1.0,510.0,0.8963093,-59.0
89.04,144.75,-54.3,200.7,143.36,2.05,83.1,277.0,0.5551102,-222.0,651.0,0.9475983,-36.0,663.0,1.0137615,9.0,115.0,0.2090909,-435.0,533.0,0.98703706,-7.0,616.0,1.006536,4.0,746.0,1.064194,45.0,637.0,1.0015724,1.0,509.0,0.8945519,-60.0
89.04,144.75,-54.3,200.7,143.36,2.05,83.1,277.0,0.5551102,-222.0,651.0,0.9475983,-36.0,663.0,1.0137615,9.0,116.0,0.21090908,-434.0,534.0,0.98888886,-6.0,616.0,1.006536,4.0,746.0,1.064194,45.0,637.0,1.0015724,1.0,509.0,0.8945519,-60.0
89.25,144.6,-54.42,199.68,144.38,0.0,83.0,277.0,0.5551102,-222.0,651.0,0.9475983,-36.0,664.0,1.0152905,10.0,119.0,0.21636364,-431.0,534.0,0.98888886,-6.0,616.0,1.006536,4.0,746.0,1.064194,45.0,637.0,1.0015724,1.0,509.0,0.8945519,-60.0
89.25,144.6,-54.42,199.68,144.38,0.0,83.0,279.0,0.5591182,-220.0,651.0,0.9475983,-36.0,664.0,1.0152905,10.0,119.0,0.21636364,-431.0,536.0,0.9925926,-4.0,617.0,1.0081699,5.0,746.0,1.064194,45.0,637.0,1.0015724,1.0,509.0,0.8945519,-60.0
89.62,144.22,-54.23,200.7,143.36,3.07,82.1,279.0,0.5591182,-220.0,651.0,0.9475983,-36.0,664.0,1.0152905,10.0,119.0,0.21636364,-431.0,536.0,0.9925926,-4.0,618.0,1.0098039,6.0,746.0,1.064194,45.0,637.0,1.0015724,1.0,509.0,0.8945519,-60.0
89.62,144.22,-54.23,200.7,143.36,3.07,82.1,278.0,0.55711424,-221.0,649.0,0.94468707,-38.0,662.0,1.0122324,8.0,117.0,0.21272728,-433.0,534.0,0.98888886,-6.0,619.0,1.0114379,7.0,744.0,1.0613409,43.0,637.0,1.0015724,1.0,510.0,0.8963093,-59.0
89.36,144.45,-54.35,198.66,142.34,0.0,81.5,276.0,0.5531062,-223.0,646.0,0.94032025,-41.0,659.0,1.0076452,5.0,116.0,0.21090908,-434.0,534.0,0.98888886,-6.0,619.0,1.0114379,7.0,741.0,1.0570613,40.0,636.0,1.0,0.0,508.0,0.8927944,-61.0
