ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,297,0,0,0,0,0,0,184,0,1099,0,100,0,1302,439,0,0,1049
2,0,604,0,1074,904,403,0,1775,0,723,279,0,0,946,0,814,0,917
4,27,0,0,125,0,196,381,0,0,970,0,505,0,998,683,0,0,1430
6,124,0,0,145,0,1111,250,106,0,2770,0,823,0,1421,583,0,0,1758
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,965,0,0,48,634,0,187,112,0,2162,0,0,0,1513,1245,0,0,2528
2,281,0,0,511,1829,0,0,941,0,0,839,0,0,764,0,85,0,938
4,233,0,28,245,56,0,394,0,0,1644,46,0,0,1829,1277,0,0,2023
6,1708,231,256,108,0,620,1493,0,0,4439,0,801,0,2081,1770,106,0,2759
9,0,0,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,458
0,1032,0,0,50,675,0,411,0,40,1934,0,20,0,1299,1085,0,0,2026
2,0,868,0,990,487,855,0,1374,69,352,87,254,228,461,0,1003,0,1401
4,0,0,0,149,0,255,0,94,0,1469,0,124,0,1374,549,0,0,912
6,1028,140,83,0,0,1069,1164,0,0,3151,0,1388,0,1415,1040,0,0,3027
9,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,60
0,858,0,0,0,1640,0,71,145,0,991,149,0,0,1197,640,0,0,1810
2,0,663,0,624,718,159,0,1013,0,308,260,0,0,879,0,359,0,1972
4,0,0,0,752,0,221,0,236,0,1789,0,371,0,1242,252,0,0,2414
6,473,0,0,210,0,552,339,117,0,2687,0,326,0,1595,591,40,0,2345
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705
0,928,0,0,0,1055,0,326,22,0,281,173,0,0,380,287,0,0,1692
2,132,0,0,163,779,0,0,899,0,137,333,0,0,560,0,0,0,1664
4,0,303,0,1348,0,0,0,0,0,2794,0,691,0,1705,206,261,0,2870
6,541,0,0,0,0,168,890,0,0,2843,0,433,0,2123,869,0,0,3303
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746
0,869,0,45,0,543,0,0,0,0,371,0,0,0,1280,914,0,0,1533
2,279,0,0,0,861,0,0,435,0,0,366,0,0,364,0,0,0,2086
4,108,0,0,0,0,140,21,0,0,355,0,0,0,732,358,0,0,1813
6,860,0,0,0,0,140,697,0,0,1526,0,44,0,1091,257,0,0,2460
9,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,930
0,657,0,0,0,791,0,778,0,0,435,218,0,0,563,306,0,0,1912
2,494,0,0,105,981,0,0,658,0,0,472,0,0,1656,170,0,0,1758
4,0,0,0,1090,0,883,0,732,0,2256,0,588,0,1564,596,0,0,3642
6,831,0,74,0,0,397,1655,0,0,2171,0,324,0,1515,778,0,0,3247
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219
0,823,0,0,145,817,0,131,63,0,490,275,0,0,840,615,0,0,1424
2,128,80,0,505,0,143,0,1120,0,370,0,0,0,828,0,87,0,1108
4,0,0,0,893,0,486,0,0,0,2727,0,973,0,1914,565,0,0,2755
6,444,0,0,0,0,321,640,0,0,2040,0,550,0,1298,592,0,0,2547
9,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,891
0,520,0,0,0,368,0,0,0,0,1164,0,0,0,1309,568,0,0,2046
2,0,105,0,622,0,156,0,1137,0,0,0,0,0,921,0,203,0,1577
4,0,0,0,130,0,88,0,0,0,170,0,0,0,0,140,0,0,1531
6,394,240,97,237,0,704,526,0,0,1054,0,478,0,0,367,150,0,2250
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156
