# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0
684,231,175,93,0,0,0,0,54,5,8
139,547,295,1,57,0,21,103,47,3,37
0,63,954,57,0,0,0,4,164,0,8
0,0,0,1241,0,0,0,0,9,0,0
76,231,359,0,50,61,45,126,71,231,0
26,0,10,0,240,211,81,82,87,513,0
0,62,9,2,250,186,134,241,116,250,0
0,150,8,2,302,0,239,191,61,297,0
58,0,0,507,0,0,0,0,536,59,90
18,0,50,0,0,0,0,0,155,1027,0
205,0,45,250,250,0,0,0,250,0,250
