roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
86.48,137.03,-15.83,71.68,245.76,12.29,17.6,587.0,0.91575664,-54.0,566.0,0.91734195,-51.0,698.0,1.0957614,61.0,270.0,0.4347826,-351.0,524.0,1.0848861,41.0,369.0,0.6709091,-181.0,626.0,1.0178862,11.0,340.0,0.6995885,-146.0,418.0,0.8530612,-72.0
86.78,136.06,-16.18,71.68,246.78,18.43,17.6,589.0,0.91887677,-52.0,571.0,0.9254457,-46.0,699.0,1.0973313,62.0,270.0,0.4347826,-351.0,526.0,1.0890269,43.0,369.0,0.6709091,-181.0,628.0,1.0211382,13.0,341.0,0.7016461,-145.0,420.0,0.85714287,-70.0
86.78,136.06,-16.18,71.68,246.78,18.43,17.6,589.0,0.91887677,-52.0,574.0,0.9303079,-43.0,699.0,1.0973313,62.0,272.0,0.4380032,-349.0,526.0,1.0890269,43.0,376.0,0.68363637,-174.0,628.0,1.0211382,13.0,345.0,0.70987654,-141.0,421.0,0.85918367,-69.0
86.23,135.37,-16.13,70.66,246.78,11.26,17.5,590.0,0.9204368,-51.0,574.0,0.9303079,-43.0,701.0,1.1004709,64.0,272.0,0.4380032,-349.0,526.0,1.0890269,43.0,377.0,0.68545455,-173.0,629.0,1.0227642,14.0,346.0,0.71193415,-140.0,425.0,0.86734694,-65.0
86.23,135.37,-16.13,70.66,246.78,11.26,17.5,590.0,0.9204368,-51.0,576.0,0.9335494,-41.0,700.0,1.0989012,63.0,273.0,0.43961352,-348.0,526.0,1.0890269,43.0,378.0,0.6872727,-172.0,628.0,1.0211382,13.0,347.0,0.71399176,-139.0,429.0,0.8755102,-61.0
86.79,134.73,-16.22,64.51,236.54,18.43,17.5,590.0,0.9204368,-51.0,576.0,0.9335494,-41.0,700.0,1.0989012,63.0,272.0,0.4380032,-349.0,526.0,1.0890269,43.0,378.0,0.6872727,-172.0,628.0,1.0211382,13.0,346.0,0.71193415,-140.0,429.0,0.8755102,-61.0
86.79,134.73,-16.22,64.51,236.54,18.43,17.5,589.0,0.91887677,-52.0,576.0,0.9335494,-41.0,700.0,1.0989012,63.0,272.0,0.4380032,-349.0,522.0,1.0807453,39.0,378.0,0.6872727,-172.0,628.0,1.0211382,13.0,346.0,0.71193415,-140.0,429.0,0.8755102,-61.0
86.21,134.25,-16.06,71.68,248.83,15.36,17.5,589.0,0.91887677,-52.0,576.0,0.9335494,-41.0,700.0,1.0989012,63.0,270.0,0.4347826,-351.0,522.0,1.0807453,39.0,378.0,0.6872727,-172.0,628.0,1.0211382,13.0,346.0,0.71193415,-140.0,429.0,0.8755102,-61.0
86.21,134.25,-16.06,71.68,248.83,15.36,17.5,589.0,0.91887677,-52.0,576.0,0.9335494,-41.0,700.0,1.0989012,63.0,270.0,0.4347826,-351.0,520.0,1.0766046,37.0,378.0,0.6872727,-172.0,625.0,1.0162601,10.0,346.0,0.71193415,-140.0,429.0,0.8755102,-61.0
86.35,133.15,-16.59,67.58,238.59,13.31,17.7,589.0,0.91887677,-52.0,581.0,0.94165313,-36.0,700.0,1.0989012,63.0,270.0,0.4347826,-351.0,522.0,1.0807453,39.0,387.0,0.70363635,-163.0,628.0,1.0211382,13.0,347.0,0.71399176,-139.0,429.0,0.8755102,-61.0
86.35,133.15,-16.59,67.58,238.59,13.31,17.7,590.0,0.9204368,-51.0,582.0,0.9432739,-35.0,702.0,1.1020408,65.0,270.0,0.4347826,-351.0,522.0,1.0807453,39.0,388.0,0.7054545,-162.0,628.0,1.0211382,13.0,350.0,0.7201646,-136.0,429.0,0.8755102,-61.0
86.67,129.81,-20.93,60.42,218.11,-18.43,17.7,591.0,0.9219969,-50.0,586.0,0.94975686,-31.0,703.0,1.1036106,66.0,270.0,0.4347826,-351.0,522.0,1.0807453,39.0,395.0,0.7181818,-155.0,628.0,1.0211382,13.0,352.0,0.7242798,-134.0,429.0,0.8755102,-61.0
86.67,129.81,-20.93,60.42,218.11,-18.43,17.7,595.0,0.92823714,-46.0,586.0,0.94975686,-31.0,704.0,1.1051805,67.0,270.0,0.4347826,-351.0,522.0,1.0807453,39.0,397.0,0.7218182,-153.0,628.0,1.0211382,13.0,355.0,0.73045266,-131.0,429.0,0.8755102,-61.0
86.67,129.81,-20.93,60.42,218.11,-18.43,17.7,601.0,0.9375975,-40.0,597.0,0.9675851,-20.0,707.0,1.1098901,70.0,254.0,0.4090177,-367.0,518.0,1.0724638,35.0,400.0,0.72727275,-150.0,629.0,1.0227642,14.0,352.0,0.7242798,-134.0,423.0,0.86326534,-67.0
86.74,121.93,-27.71,94.21,218.11,5.12,17.7,601.0,0.9375975,-40.0,597.0,0.9675851,-20.0,707.0,1.1098901,70.0,247.0,0.39774558,-374.0,515.0,1.0662526,32.0,400.0,0.72727275,-150.0,629.0,1.0227642,14.0,352.0,0.7242798,-134.0,421.0,0.85918367,-69.0
84.86,119.61,-30.24,158.72,191.49,22.53,17.6,601.0,0.9375975,-40.0,597.0,0.9675851,-20.0,703.0,1.1036106,66.0,239.0,0.38486314,-382.0,510.0,1.0559006,27.0,400.0,0.72727275,-150.0,629.0,1.0227642,14.0,352.0,0.7242798,-134.0,421.0,0.85918367,-69.0
84.86,119.61,-30.24,158.72,191.49,22.53,17.6,601.0,0.9375975,-40.0,597.0,0.9675851,-20.0,700.0,1.0989012,63.0,238.0,0.38325283,-383.0,509.0,1.0538303,26.0,400.0,0.72727275,-150.0,629.0,1.0227642,14.0,352.0,0.7242798,-134.0,420.0,0.85714287,-70.0
84.86,119.61,-30.24,158.72,191.49,22.53,17.6,601.0,0.9375975,-40.0,597.0,0.9675851,-20.0,699.0,1.0973313,62.0,237.0,0.38164252,-384.0,507.0,1.0496894,24.0,400.0,0.72727275,-150.0,629.0,1.0227642,14.0,352.0,0.7242798,-134.0,414.0,0.844898,-76.0
84.56,122.98,-33.48,225.28,215.04,60.42,17.6,601.0,0.9375975,-40.0,597.0,0.9675851,-20.0,699.0,1.0973313,62.0,237.0,0.38164252,-384.0,507.0,1.0496894,24.0,414.0,0.75272727,-136.0,629.0,1.0227642,14.0,360.0,0.7407407,-126.0,414.0,0.844898,-76.0
