ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,163,0,0,0,0,0,0,132,0,538,0,0,0,128,679,0,0,665
1,251,0,20,0,0,0,0,875,0,721,419,0,542,0,424,0,0,1189
2,134,0,0,0,0,0,0,570,0,572,244,0,438,0,0,0,0,425
3,0,0,0,80,0,0,0,318,0,434,0,125,497,0,0,204,0,0
4,0,0,145,0,0,160,0,455,0,765,0,918,0,0,0,0,279,0
5,292,0,411,0,0,0,498,0,0,0,0,723,0,884,163,0,327,0
6,407,0,410,0,124,0,427,0,22,322,0,20,0,1244,439,0,184,134
7,162,0,0,0,67,0,28,0,0,504,0,113,0,599,248,0,377,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0
0,366,0,0,0,99,0,0,120,0,551,643,0,0,0,586,0,0,1369
1,151,0,0,0,0,120,0,986,0,258,261,0,328,0,248,0,0,1267
2,212,0,0,0,0,0,0,664,0,557,26,0,514,0,150,0,0,278
3,0,0,0,0,0,0,0,1013,0,598,0,432,478,0,0,286,0,1146
4,84,0,142,0,0,240,0,508,0,719,0,1211,0,0,0,0,180,0
5,169,0,229,0,0,0,80,0,0,234,0,884,0,759,0,0,103,109
6,371,0,303,0,96,0,342,0,0,469,0,270,0,1221,580,0,83,46
7,609,0,115,0,0,0,184,0,0,636,256,0,0,810,814,0,0,1282
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,539,0,82,0,120,0,0,110,0,215,983,0,63,0,822,0,0,1681
1,196,0,0,0,0,69,0,571,0,0,458,0,185,0,124,0,0,1290
2,0,0,0,0,0,52,0,1117,0,539,0,0,92,0,0,0,0,848
3,0,0,0,0,0,145,0,1964,0,439,0,480,744,0,0,190,0,0
4,207,0,236,0,0,167,0,711,0,848,0,1176,0,0,0,100,23,695
5,281,0,367,0,0,0,362,0,44,0,0,314,0,0,225,0,72,366
6,386,0,468,0,189,0,783,0,122,210,0,0,0,1385,739,0,231,143
7,350,0,23,0,0,0,111,0,0,625,0,0,0,851,539,0,0,484
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,101,0,0,0,0,0,0,245,0,331,583,0,0,0,239,0,0,1187
1,173,0,96,0,0,25,0,632,0,307,298,0,378,0,276,0,0,974
2,149,0,0,0,0,0,0,284,0,326,124,0,706,0,0,0,0,532
3,21,0,0,0,0,0,0,0,0,248,0,42,743,0,0,0,0,80
4,185,0,193,0,0,108,0,400,0,526,0,738,0,0,0,0,0,62
5,228,0,307,0,0,0,489,0,35,424,0,979,0,270,168,0,231,82
6,263,0,244,0,125,0,271,0,60,0,0,0,0,235,509,0,54,156
7,240,0,128,0,72,0,0,115,0,528,108,0,0,834,355,0,0,1181
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397
0,143,0,0,0,0,0,0,424,0,464,497,0,0,0,456,0,0,2305
1,416,0,239,0,67,20,0,616,0,269,1237,0,587,0,428,0,0,2588
2,184,0,0,0,0,140,0,1680,0,530,450,0,809,0,0,45,0,1889
3,165,0,0,0,0,0,0,1390,0,602,0,0,790,0,0,0,0,2024
4,0,0,0,0,0,185,0,280,0,300,0,852,60,0,0,0,48,851
5,375,0,481,0,0,0,822,0,55,120,0,577,0,1095,356,0,63,1119
6,303,0,298,0,0,0,266,0,51,0,0,491,0,135,269,0,62,898
7,371,0,173,0,0,0,387,0,0,407,179,0,0,903,869,0,0,2211
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
0,367,0,25,0,0,115,0,120,0,449,780,0,0,0,524,0,0,3673
1,419,0,256,0,153,0,0,1007,0,226,1852,0,1228,0,425,0,0,2389
2,188,0,0,0,0,131,0,1624,0,591,454,0,504,0,0,0,0,2824
3,0,0,0,115,0,262,0,2622,0,964,0,1104,928,0,0,587,0,1850
4,79,0,0,0,0,0,0,0,0,471,0,458,169,0,0,0,0,1218
5,294,0,270,0,0,0,195,0,106,420,0,776,0,920,427,0,89,1378
6,650,0,761,0,0,45,1572,0,153,0,0,923,0,2273,683,0,87,1085
7,233,0,0,0,0,0,108,0,0,160,230,0,0,440,932,0,0,2403
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257
0,0,0,0,0,0,0,0,200,0,459,177,0,0,0,88,0,0,2649
1,223,0,28,0,131,0,0,688,0,394,974,0,285,0,191,0,0,1931
2,136,0,0,0,0,134,0,1142,0,242,200,0,140,0,0,0,0,2354
3,0,0,0,0,0,0,0,479,0,130,0,0,329,0,0,0,0,1347
4,0,0,0,0,0,0,0,0,0,286,0,433,50,0,0,0,0,1771
5,0,0,0,0,0,90,361,0,164,412,0,1104,0,1351,124,0,0,1594
6,675,0,683,0,0,0,1052,0,56,152,0,187,0,2718,715,0,0,1884
7,181,0,0,0,67,0,0,95,0,273,68,0,0,379,758,0,0,2512
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077
0,68,0,0,0,0,0,0,23,0,177,483,0,0,0,601,0,0,1616
1,298,0,170,0,0,0,0,1239,0,303,1296,0,579,0,504,0,0,2937
2,225,0,0,0,0,296,0,2303,0,478,0,0,832,0,0,62,0,2452
3,0,0,0,0,0,0,0,2379,0,608,118,0,1009,0,0,0,0,2249
4,0,0,0,0,0,154,0,944,0,819,0,1362,151,0,0,162,0,785
5,0,0,0,84,0,0,112,0,0,324,0,848,0,1108,88,0,0,1150
