ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,0,53,0,911,0,296,0,280,0,988,0,599,0,323,80,0,0,983
2,0,1526,0,0,0,197,0,2342,0,415,0,295,0,1112,75,0,0,388
4,0,0,0,910,128,0,339,378,0,797,0,653,0,242,0,0,0,608
6,0,237,0,358,265,0,0,630,0,162,0,482,0,763,0,0,0,779
8,0,244,0,0,0,0,0,922,0,0,0,434,0,586,0,0,0,343
0,0,607,0,2012,76,231,0,1405,24,627,0,1685,0,1359,26,0,0,2358
2,0,2630,0,613,0,1071,0,4584,0,1148,0,1209,0,1260,21,0,0,1897
4,670,382,0,1486,582,0,1896,749,0,1022,289,1281,957,100,0,0,0,2044
6,0,136,0,1058,0,20,0,520,153,0,0,2848,0,1546,179,0,0,1116
8,0,2082,0,1310,0,918,0,3747,0,1121,0,2487,0,1768,0,0,0,1922
0,0,399,0,1464,0,229,254,1322,0,888,0,1570,0,1339,23,0,0,1599
2,1787,0,994,0,73,525,3029,0,0,558,5091,0,2056,0,40,0,0,2005
4,0,503,0,592,637,0,20,1108,0,850,24,907,0,982,0,0,0,1592
6,27,0,0,1380,0,155,132,215,107,0,0,2798,0,941,69,0,0,1823
8,0,1527,0,1147,0,623,287,1995,0,645,0,1281,0,753,0,0,0,1781
0,46,0,0,1015,358,0,722,0,0,625,300,538,77,165,0,0,0,1154
2,2044,0,862,0,65,944,1651,0,1332,0,535,898,132,0,0,0,0,1752
4,0,1075,1437,443,955,0,0,1930,0,1699,2265,539,901,601,0,0,0,1487
6,979,0,0,1105,0,273,2493,0,22,0,0,2562,459,0,0,0,0,1507
8,169,1728,1909,535,821,344,965,2449,0,727,1932,900,660,632,0,0,0,1213
0,67,0,0,1388,26,291,313,1130,0,1226,40,1653,271,725,106,0,0,2067
2,0,1320,0,811,0,439,184,2489,0,649,48,591,88,899,0,0,0,1525
4,0,1753,0,1488,0,0,0,3028,0,1002,0,2075,0,1456,0,0,0,1732
6,785,116,0,2040,577,125,1556,160,183,0,1325,2501,765,680,0,0,0,2166
8,831,136,334,420,0,628,1084,1426,0,389,287,1146,0,1556,0,0,0,1098
0,0,355,0,1545,0,566,295,1435,0,838,0,1669,0,1407,139,0,0,1463
2,0,1013,0,794,90,457,66,2391,0,545,70,1039,0,1106,66,0,0,786
4,0,1336,0,1656,0,0,0,2316,0,998,72,2047,0,1324,0,0,0,1088
6,0,702,0,674,0,152,0,2264,0,0,0,2642,0,1848,0,0,0,943
8,0,1856,0,1113,0,853,0,2260,0,295,0,1414,0,643,0,0,0,496
0,0,331,0,1766,96,0,0,1399,0,921,0,1489,0,742,0,20,0,1136
2,0,451,0,304,0,831,0,1909,0,767,0,1006,0,782,86,0,0,1096
4,64,0,0,1054,475,0,240,60,0,1120,0,1276,70,644,0,0,0,992
6,0,358,0,1112,20,96,540,642,0,100,88,2250,106,782,0,0,0,1128
8,0,188,0,292,0,146,0,505,0,608,0,818,0,497,0,0,0,398
0,0,0,0,1998,235,120,0,892,0,1096,0,1841,0,904,0,0,0,2352
2,0,1162,0,881,40,88,123,2215,0,879,0,519,61,682,0,0,0,1137
4,0,986,42,1211,0,88,0,2437,0,1126,0,2024,0,1666,80,0,0,1347
6,0,0,0,1161,0,595,0,416,0,0,0,2269,0,627,20,0,0,1931
8,0,1496,0,1150,0,1072,0,1816,0,200,0,1237,0,659,0,140,0,603
0,0,0,0,2491,21,80,0,559,0,707,0,2200,0,697,0,0,0,2827
2,0,1688,0,1295,0,909,0,3155,0,944,0,1254,0,1412,0,0,0,2239
4,63,1246,0,1846,279,0,467,2045,0,1514,247,2244,0,1719,0,0,0,3124
6,0,20,0,1142,0,66,0,607,182,0,0,2417,0,1019,216,0,0,2301
8,0,0,21,0,0,0,0,153,0,157,0,0,0,0,132,0,0,2275
